0.000,1.000,0.200,-1.000,0.0003.000,0.000
0.000,1.161,0.184,-1.000,-0.101,3.000,0.000
0.100,1.320,0.151,-1.000,-0.202,3.000,0.000
0.200,1.475,0.103,-1.000,-0.303,3.000,0.000
0.300,1.624,0.039,-1.000,-0.404,3.000,0.000
0.400,1.766,-0.039,-1.000,-0.505,3.000,0.000
0.500,1.899,-0.132,-1.000,-0.606,3.000,0.000
0.600,2.022,-0.237,-1.000,-0.707,3.000,0.000
0.700,2.134,-0.354,-1.000,-0.808,3.000,0.000
0.800,2.234,-0.482,-1.000,-0.909,3.000,0.000
0.900,2.320,-0.619,-1.000,-1.010,3.000,0.000
1.000,2.392,-0.764,-1.000,-1.111,3.000,0.000
1.100,2.449,-0.916,-1.000,-1.212,3.000,0.000
1.200,2.490,-1.073,-1.000,-1.313,3.000,0.000
1.300,2.516,-1.233,-1.000,-1.414,3.000,0.000
1.400,2.525,-1.395,-1.000,-1.515,3.000,0.000
1.500,2.518,-1.557,-1.000,-1.616,3.000,0.000
1.600,2.494,-1.717,-1.000,-1.717,3.000,0.000
1.700,2.454,-1.874,-1.000,-1.818,3.000,0.000
1.800,2.399,-2.027,-1.000,-1.919,3.000,0.000
1.900,2.329,-2.173,-1.000,-2.020,3.000,0.000
2.000,2.244,-2.311,-1.000,-2.121,3.000,0.000
2.100,2.146,-2.440,-1.000,-2.221,3.000,0.000
2.200,2.035,-2.558,-1.000,-2.322,3.000,0.000
2.300,1.913,-2.665,-1.000,-2.423,3.000,0.000
2.400,1.781,-2.759,-1.000,-2.524,3.000,0.000
2.500,1.640,-2.839,-1.000,-2.625,3.000,0.000
2.600,1.492,-2.904,-1.000,-2.726,3.000,0.000
2.700,1.338,-2.954,-1.000,-2.827,3.000,0.000
2.800,1.179,-2.989,-1.000,-2.928,3.000,0.000
2.900,1.018,-3.007,-1.000,-3.029,3.000,0.000
3.000,0.856,-3.009,-1.000,-3.130,3.000,0.000
3.100,0.695,-2.994,-1.000,-3.231,3.000,0.000
3.200,0.535,-2.963,-1.000,-3.332,3.000,0.000
3.300,0.380,-2.917,-1.000,-3.433,3.000,0.000
3.400,0.230,-2.855,-1.000,-3.534,3.000,0.000
3.500,0.088,-2.778,-1.000,-3.635,3.000,0.000
3.600,-0.047,-2.687,-1.000,-3.736,3.000,0.000
3.700,-0.171,-2.583,-1.000,-3.837,3.000,0.000
3.800,-0.284,-2.467,-1.000,-3.938,3.000,0.000
3.900,-0.385,-2.341,-1.000,-4.039,3.000,0.000
4.000,-0.473,-2.204,-1.000,-4.140,3.000,0.000
4.100,-0.547,-2.060,-1.000,-4.241,3.000,0.000
4.200,-0.605,-1.909,-1.000,-4.342,3.000,0.000
4.300,-0.649,-1.753,-1.000,-4.443,3.000,0.000
4.400,-0.676,-1.593,-1.000,-4.544,3.000,0.000
4.500,-0.687,-1.431,-1.000,-4.645,3.000,0.000
4.600,-0.681,-1.269,-1.000,-4.746,3.000,0.000
4.700,-0.660,-1.109,-1.000,-4.847,3.000,0.000
4.800,-0.622,-0.951,-1.000,-4.948,3.000,0.000
4.900,-0.568,-0.798,-1.000,-5.049,3.000,0.000
5.000,-0.500,-0.651,-1.000,-5.150,3.000,0.000
5.100,-0.416,-0.512,-1.000,-5.251,3.000,0.000
5.200,-0.320,-0.382,-1.000,-5.352,3.000,0.000
5.300,-0.210,-0.262,-1.000,-5.453,3.000,0.000
5.400,-0.090,-0.154,-1.000,-5.554,3.000,0.000
5.500,0.042,-0.059,-1.000,-5.655,3.000,0.000
5.600,0.182,0.023,-1.000,-5.756,3.000,0.000
5.700,0.329,0.090,-1.000,-5.857,3.000,0.000
5.800,0.483,0.142,-1.000,-5.958,3.000,0.000
5.900,0.641,0.178,-1.000,-6.059,3.000,0.000
6.000,0.802,0.198,-1.000,-6.160,3.000,0.000
6.100,0.964,0.201,-1.000,-6.261,3.000,0.000
6.200,1.125,0.189,-1.000,-6.362,3.000,0.000
6.300,1.285,0.160,-1.000,-6.462,3.000,0.000
6.400,1.441,0.115,-1.000,-6.563,3.000,0.000
6.500,1.591,0.055,-1.000,-6.664,3.000,0.000
6.600,1.735,-0.020,-1.000,-6.765,3.000,0.000
6.700,1.870,-0.110,-1.000,-6.866,3.000,0.000
6.800,1.995,-0.212,-1.000,-6.967,3.000,0.000
6.900,2.110,-0.327,-1.000,-7.068,3.000,0.000
7.000,2.213,-0.452,-1.000,-7.169,3.000,0.000
7.100,2.302,-0.588,-1.000,-7.270,3.000,0.000
7.200,2.377,-0.731,-1.000,-7.371,3.000,0.000
7.300,2.438,-0.882,-1.000,-7.472,3.000,0.000
7.400,2.482,-1.037,-1.000,-7.573,3.000,0.000
7.500,2.511,-1.197,-1.000,-7.674,3.000,0.000
7.600,2.524,-1.358,-1.000,-7.775,3.000,0.000
7.700,2.521,-1.520,-1.000,-7.876,3.000,0.000
7.800,2.501,-1.681,-1.000,-7.977,3.000,0.000
7.900,2.465,-1.839,-1.000,-8.078,3.000,0.000
8.000,2.413,-1.993,-1.000,-8.179,3.000,0.000
8.100,2.346,-2.141,-1.000,-8.280,3.000,0.000
8.200,2.264,-2.281,-1.000,-8.381,3.000,0.000
8.300,2.169,-2.412,-1.000,-8.482,3.000,0.000
8.400,2.061,-2.533,-1.000,-8.583,3.000,0.000
8.500,1.942,-2.642,-1.000,-8.684,3.000,0.000
8.600,1.812,-2.739,-1.000,-8.785,3.000,0.000
8.700,1.672,-2.822,-1.000,-8.886,3.000,0.000
8.800,1.526,-2.891,-1.000,-8.987,3.000,0.000
8.900,1.373,-2.944,-1.000,-9.088,3.000,0.000
9.000,1.215,-2.982,-1.000,-9.189,3.000,0.000
9.100,1.054,-3.004,-1.000,-9.290,3.000,0.000
9.200,0.892,-3.010,-1.000,-9.391,3.000,0.000
9.300,0.731,-2.999,-1.000,-9.492,3.000,0.000
9.400,0.571,-2.972,-1.000,-9.593,3.000,0.000
9.500,0.415,-2.929,-1.000,-9.694,3.000,0.000
9.600,0.263,-2.870,-1.000,-9.795,3.000,0.000
9.700,0.119,-2.796,-1.000,-9.896,3.000,0.000
9.800,-0.017,-2.709,-1.000,-9.997,3.000,0.000
 numElements && i == numCommas Unable to read element 0 of [] (expected 2 elements)
9.900,-0.144,-2.608,-1.000,-10.098,3.000,0.000
